CustomerId,CustomerName,Country,Frequency,Monetary,LastPurchaseDate,Recency_Days,R_Score,F_Score,M_Score,Segment
6,Helena Holý,Czech Republic,7,49.62,2025-11-13 00:00:00,39,4,1,4,New Potential
26,Richard Cunningham,USA,7,47.62,2025-04-05 00:00:00,261,2,1,4,Lost Customer
57,Luis Rojas,Chile,7,46.62,2024-10-14 00:00:00,434,1,1,4,Lost Customer
45,Ladislav Kovács,Hungary,7,45.62,2025-07-20 00:00:00,155,3,1,4,New Potential
46,Hugh O'Reilly,Ireland,7,45.62,2025-11-04 00:00:00,48,4,1,4,New Potential
24,Frank Ralston,USA,7,43.62,2025-08-20 00:00:00,124,3,1,4,New Potential
28,Julia Barnett,USA,7,43.62,2025-05-19 00:00:00,217,2,1,4,Lost Customer
37,Fynn Zimmermann,Germany,7,43.62,2025-06-03 00:00:00,202,2,1,4,Lost Customer
7,Astrid Gruber,Austria,7,42.62,2025-06-19 00:00:00,186,2,1,4,Lost Customer
25,Victor Stevens,USA,7,42.62,2025-12-05 00:00:00,17,4,1,4,New Potential
44,Terhi Hämäläinen,Finland,7,41.62,2025-12-14 00:00:00,8,4,1,4,New Potential
5,František Wichterlová,Czech Republic,7,40.62,2025-05-06 00:00:00,230,2,1,4,Lost Customer
43,Isabelle Mercier,France,7,40.62,2025-06-06 00:00:00,199,2,1,4,Lost Customer
48,Johannes Van der Berg,Netherlands,7,40.62,2025-09-12 00:00:00,101,3,1,4,New Potential
1,Luís Gonçalves,Brazil,7,39.62,2025-08-07 00:00:00,137,3,2,3,New Potential
3,François Tremblay,Canada,7,39.62,2025-09-20 00:00:00,93,3,2,3,New Potential
4,Bjørn Hansen,Norway,7,39.62,2025-10-03 00:00:00,80,3,2,3,New Potential
17,Jack Smith,USA,7,39.62,2024-07-31 00:00:00,509,1,2,3,Lost Customer
20,Dan Miller,USA,7,39.62,2025-11-21 00:00:00,31,4,2,3,New Potential
22,Heather Leacock,USA,7,39.62,2025-07-07 00:00:00,168,3,2,3,New Potential
34,João Fernandes,Portugal,7,39.62,2024-10-01 00:00:00,447,1,2,3,Lost Customer
42,Wyatt Girard,France,7,39.62,2025-11-03 00:00:00,49,4,2,4,New Potential
15,Jennifer Peterson,Canada,7,38.62,2024-12-15 00:00:00,372,1,2,3,Lost Customer
19,Tim Goyer,USA,7,38.62,2024-09-13 00:00:00,465,1,2,3,Lost Customer
39,Camille Bernard,France,7,38.62,2025-09-07 00:00:00,106,3,2,3,New Potential
40,Dominique Lefebvre,France,7,38.62,2024-08-13 00:00:00,496,1,2,3,Lost Customer
51,Joakim Johansson,Sweden,7,38.62,2024-12-02 00:00:00,385,1,2,3,Lost Customer
58,Manoj Pareek,India,7,38.62,2025-12-22 00:00:00,0,4,2,3,New Potential
2,Leonie Köhler,Germany,7,37.62,2024-07-13 00:00:00,527,1,2,1,Lost Customer
8,Daan Peeters,Belgium,7,37.62,2025-10-04 00:00:00,79,3,3,1,VIP / Loyal
9,Kara Nielsen,Denmark,7,37.62,2025-02-02 00:00:00,323,2,3,1,At Risk
10,Eduardo Martins,Brazil,7,37.62,2025-08-12 00:00:00,132,3,3,1,VIP / Loyal
11,Alexandre Rocha,Brazil,7,37.62,2025-03-18 00:00:00,279,2,3,1,At Risk
12,Roberto Almeida,Brazil,7,37.62,2025-10-05 00:00:00,78,3,3,1,VIP / Loyal
13,Fernanda Ramos,Brazil,7,37.62,2024-11-01 00:00:00,416,1,3,1,At Risk
14,Mark Philips,Canada,7,37.62,2025-05-11 00:00:00,225,2,3,1,At Risk
16,Frank Harris,USA,7,37.62,2025-07-04 00:00:00,171,2,3,1,At Risk
18,Michelle Brooks,USA,7,37.62,2025-10-08 00:00:00,75,3,3,1,VIP / Loyal
21,Kathy Chase,USA,7,37.62,2025-12-04 00:00:00,18,4,3,1,VIP / Loyal
23,John Gordon,USA,7,37.62,2025-12-04 00:00:00,18,4,3,1,VIP / Loyal
27,Patrick Gray,USA,7,37.62,2025-10-13 00:00:00,70,4,3,1,VIP / Loyal
29,Robert Brown,Canada,7,37.62,2025-12-06 00:00:00,16,4,3,1,VIP / Loyal
30,Edward Francis,Canada,7,37.62,2025-01-02 00:00:00,354,1,3,2,At Risk
31,Martha Silk,Canada,7,37.62,2025-07-12 00:00:00,163,3,4,2,VIP / Loyal
32,Aaron Mitchell,Canada,7,37.62,2025-02-15 00:00:00,310,2,4,2,At Risk
33,Ellie Sullivan,Canada,7,37.62,2025-09-04 00:00:00,109,3,4,2,VIP / Loyal
35,Madalena Sampaio,Portugal,7,37.62,2025-12-09 00:00:00,13,4,4,2,VIP / Loyal
36,Hannah Schneider,Germany,7,37.62,2024-11-14 00:00:00,403,1,4,2,At Risk
38,Niklas Schröder,Germany,7,37.62,2024-06-30 00:00:00,540,1,4,2,At Risk
41,Marc Dubois,France,7,37.62,2025-10-21 00:00:00,62,4,4,2,VIP / Loyal
47,Lucas Mancini,Italy,7,37.62,2025-03-05 00:00:00,292,2,4,2,At Risk
49,Stanisław Wójcik,Poland,7,37.62,2025-04-18 00:00:00,248,2,4,2,At Risk
50,Enrique Muñoz,Spain,7,37.62,2025-11-05 00:00:00,47,4,4,2,VIP / Loyal
52,Emma Jones,United Kingdom,7,37.62,2025-06-11 00:00:00,194,2,4,2,At Risk
53,Phil Hughes,United Kingdom,7,37.62,2025-01-15 00:00:00,341,1,4,2,At Risk
54,Steve Murray,United Kingdom,7,37.62,2025-08-04 00:00:00,140,3,4,2,VIP / Loyal
55,Mark Taylor,Australia,7,37.62,2024-08-31 00:00:00,478,1,4,2,At Risk
56,Diego Gutiérrez,Argentina,7,37.62,2025-11-08 00:00:00,44,4,4,3,VIP / Loyal
59,Puja Srivastava,India,6,36.64,2024-05-30 00:00:00,571,1,1,1,Lost Customer
